abandoning abandon abandons abandoned
listed listing lists list
listened listen listens listening
litigates litigating litigated litigate
litters littered littering litter
live lives living lived
live-blogged live-blog live-blogging live-blogs
live-streaming live-stream live-streams live-streamed
liveblog liveblogs liveblogging liveblogged
livening liven livens livened
livestreams livestreamed livestreaming livestream
load loading loaded loads
loafs loafed loafing loaf
loan loaned loans loaning
loathe loathes loathed loathing
lobbed lobbing lob lobs
lobbies lobbied lobbying lobby
lobotomising lobotomises lobotomise lobotomised
lobotomize lobotomizes lobotomized lobotomizing
localise localised localising localises
localized localizing localize localizes
located locates locate locating
lock locked locking locks
lodging lodges lodge lodged
loft lofts lofting lofted
logged logging logs log
loitering loiter loitered loiters
lolls loll lolling lolled
lolloping lollop lolloped lollops
longing long longed longs
look looks looking looked
looming loom loomed looms
looping loops looped loop
loosed looses loose loosing
loosened loosening loosen loosens
looted looting loots loot
lop lopping lops lopped
loped loping lope lopes
lorded lord lording lords
losing loses lose lost
lounged lounges lounge lounging
louring lour loured lours
louses lousing louse loused
loving loves love loved
low lowing lowed lows
lowballs lowball lowballed lowballing
lowered lowers lower lowering
lubricates lubricate lubricating lubricated
lucks lucking lucked luck
lug lugging lugs lugged
lulling lull lulled lulls
lumbers lumbered lumber lumbering
lumped lump lumping lumps
lunches lunching lunched lunch
lunged lunges lunge lungeing
lurched lurch lurching lurches
lure lures luring lured
lurk lurks lurking lurked
lusted lusting lust lusts
luxuriating luxuriate luxuriated luxuriates
lynched lynch lynches lynching
macerates macerated macerating macerate
machine machines machining machined
machine-gunning machine-gunned machine-gun machine-guns
machinegun machinegunned machinegunning machineguns
maddens madden maddening maddened
magic magicked magics magicking
magnetised magnetising magnetises magnetise
magnetizing magnetized magnetizes magnetize
magnifying magnify magnifies magnified
mailed mailing mails mail
mail bombs mail bombed mail bombing mail bomb
maim maiming maims maimed
mainlines mainlined mainlining mainline
mainstreamed mainstreams mainstream mainstreaming
maintained maintain maintains maintaining
majors majored majoring major
make made making makes
malfunction malfunctions malfunctioned malfunctioning
maligning maligned maligns malign
malingering malingered malinger malingers
maltreat maltreats maltreated maltreating
mans man manning manned
manacling manacle manacles manacled
manages manage managed managing
mandates mandated mandating mandate
maneuvered maneuvers maneuver maneuvering
mangling mangles mangle mangled
manhandles manhandling manhandled manhandle
manicure manicuring manicured manicures
manifest manifested manifests manifesting
manipulates manipulated manipulating manipulate
manoeuvred manoeuvring manoeuvres manoeuvre
mantling mantled mantles mantle
manufacture manufacturing manufactured manufactures
manure manuring manures manured
map mapped maps mapping
mar marred marring mars
march marches marched marching
marginalises marginalise marginalising marginalised
marginalized marginalize marginalizing marginalizes
marinates marinate marinated marinating
mark marked marks marking
market markets marketing marketed
marooned marooning maroon maroons
marry married marrying marries
marshalled marshals marshalling marshal
martyring martyr martyrs martyred
marvel marvels marvelled marvelling
masculinising masculinises masculinised masculinise
masculinizing masculinized masculinizes masculinize
mash mashed mashes mashing
masking mask masks masked
masquerade masquerading masqueraded masquerades
massed massing masses mass
mass-produces mass-producing mass-produced mass-produce
massacred massacring massacres massacre
massage massages massaging massaged
massproduced massproduce massproducing massproduces
master masters mastering mastered
masterminded masterminding masterminds mastermind
masticating masticates masticated masticate
masturbating masturbated masturbates masturbate
matching matches matched match
mated mating mate mates
materialised materialises materialising materialise
materializes materializing materialize materialized
matriculate matriculating matriculated matriculates
mattered matter mattering matters
matured maturing mature matures
mauled maul mauling mauls
maunders maundering maundered maunder
maxes maxed maxing max
maximise maximises maximising maximised
maximized maximizes maximizing maximize
mean means meant meaning
meandering meanders meander meandered
means-test means-tested means-tests means-testing
meanstest meanstests meanstesting meanstested
measuring measures measure measured
mechanise mechanising mechanised mechanises
mechanizes mechanizing mechanized mechanize
medalling medal medalled medals
meddles meddled meddling meddle
mediates mediate mediated mediating
medicated medicates medicate medicating
meditating meditate meditates meditated
meet meeting meets met
melded melding melds meld
mellowed mellow mellows mellowing
melting melt melts melted
melting melt melts melted molten
memorialising memorialises memorialise memorialised
memorializing memorializes memorialize memorialized
memorise memorising memorises memorised
memorizes memorized memorizing memorize
menacing menaced menaces menace
mends mending mend mended
menstruating menstruated menstruates menstruate
mentions mentioned mentioning mention
meow meowing meowed meows
mercerise mercerised mercerising mercerises
mercerizing mercerized mercerize mercerizes
merchandising merchandise merchandised merchandises
merges merging merged merge
merit merited meriting merits
meshes meshing mesh meshed
mesmerised mesmerise mesmerising mesmerises
mesmerize mesmerizing mesmerizes mesmerized
mess messing messed messes
messaging messaged message messages
messenger messengering messengered messengers
metabolising metabolise metabolises metabolised
metabolizes metabolized metabolizing metabolize
metamorphosing metamorphose metamorphoses metamorphosed
meted metes mete meting
meters metering metered meter
mewing mew mewed mews
mewled mewl mewls mewling
miaowed miaow miaows miaowing
microblog microblogged microblogging microblogs
microchips microchipped microchip microchipping
micromanage micromanaged micromanaging micromanages
microwave microwaving microwaves microwaved
micturated micturate micturates micturating
migrates migrating migrated migrate
mikes miking mike miked
militarising militarised militarises militarise
militarized militarizing militarize militarizes
militated militates militate militating
milk milking milks milked
milling mill mills milled
mimed mime mimes miming
mimicking mimicked mimic mimics
minced mince minces mincing
minded minding mind minds
mine mines mining mined
mingling mingles mingle mingled
miniaturises miniaturising miniaturised miniaturise
miniaturizes miniaturizing miniaturized miniaturize
minimise minimises minimised minimising
minimizes minimize minimizing minimized
ministering ministered ministers minister
minored minoring minors minor
mints mint minted minting
minuting minutes minuted minute
mirroring mirrors mirror mirrored
mis-sells mis-sell mis-sold mis-selling
misapply misapplied misapplies misapplying
misappropriate misappropriates misappropriated misappropriating
misbehaved misbehaves misbehave misbehaving
miscalculates miscalculate miscalculated miscalculating
miscarried miscarries miscarrying miscarry
miscast miscasts miscasting
misconceiving misconceived misconceives misconceive
misconstruing misconstrues misconstrue misconstrued
miscounts miscounted miscount miscounting
misdiagnose misdiagnosing misdiagnoses misdiagnosed
misdials misdialling misdialled misdial
misdirects misdirected misdirect misdirecting
misfield misfields misfielding misfielded
misfiled misfiles misfiling misfile
misfiring misfired misfires misfire
misgovern misgoverned misgoverning misgoverns
mishandles mishandled mishandling mishandle
mishearing mishear misheard mishears
mishits mishit mishitting
misinformed misinforming misinforms misinform
misinterpret misinterprets misinterpreted misinterpreting
misjudges misjudged misjudging misjudge
miskey miskeyed miskeying miskeys
mislays mislaying mislaid mislay
mislead misleading misled misleads
mismanages mismanaged mismanage mismanaging
mismatch mismatched mismatches mismatching
misnames misnaming misname misnamed
misplaced misplaces misplace misplacing
misplays misplayed misplaying misplay
mispronounces mispronouncing mispronounced mispronounce
misquotes misquoting misquoted misquote
misreads misread misreading
misremember misremembering misremembered misremembers
misreported misreport misreporting misreports
misrepresents misrepresenting misrepresented misrepresent
misses missing missed miss
missold missells missell misselling
missions missioning missioned mission
misspoke misspoken misspeaks misspeaking misspeak
misspell misspelled misspelling misspells
Spelling Spelled  Spelled Spells Spell
Spelt Spelling Spelt  Spells Spell
misspell misspelling misspelt misspells
misspend misspends misspending misspent
mist misting misted mists
mistook mistaking mistakes mistake mistaken
mistimed mistime mistiming mistimes
mistreated mistreats mistreating mistreat
mistrust mistrusts mistrusted mistrusting
misunderstand misunderstands misunderstood misunderstanding
misuse misused misusing misuses
miswedding misweds miswed
miswedding miswedded misweds miswed
mitigated mitigating mitigates mitigate
mitring mitre mitres mitred
mixes mix mixed mixing
moaning moaned moan moans
mobbed mob mobs mobbing
mobilise mobilises mobilised mobilising
mobilized mobilize mobilizes mobilizing
mock mocked mocking mocks
mods mod modding modded
modelling modelled models model
moderated moderates moderate moderating
modernising modernise modernises modernised
modernizes modernize modernizing modernized
modifies modifying modify modified
modulates modulate modulated modulating
moistens moisten moistened moistening
moisturise moisturising moisturises moisturised
moisturized moisturizing moisturizes moisturize
mold molding molds molded
molder moldering moldered molders
molesting molest molested molests
mollifies mollifying mollified mollify
mollycoddled mollycoddle mollycoddling mollycoddles
molting molt molted molts
monetising monetised monetises monetise
monetizing monetize monetizes monetized
monitors monitoring monitored monitor
monkeys monkeying monkey monkeyed
monopolising monopolise monopolised monopolises
monopolizes monopolize monopolizing monopolized
moos mooed mooing moo
mooch mooching mooched mooches
moon mooned mooning moons
moonlighting moonlight moonlights moonlighted
moonwalks moonwalking moonwalked moonwalk
moor moored mooring moors
moots moot mooting mooted
mops mop mopping mopped
moping mope mopes moped
moralising moralised moralises moralise
moralize moralizes moralized moralizing
morphed morph morphs morphing
mortars mortaring mortar mortared
mortgaged mortgage mortgaging mortgages
mortifies mortified mortifying mortify
moseyed moseys moseying mosey
moshing mosh moshed moshes
mothballing mothballs mothballed mothball
mother mothers mothering mothered
motions motioned motioning motion
motivated motivate motivates motivating
motors motor motored motoring
mould moulds moulded moulding
moulder moulders mouldering mouldered
moulting moults moulted moult
mounting mount mounts mounted
mourned mourning mourns mourn
mouse mousing moused mouses
mouth mouthing mouthed mouths
moves moved move moving
mow mown mows mowing mowed
mows mowing mowed mow
mucking mucked mucks muck
muddled muddle muddling muddles
muddied muddy muddying muddies
muff muffing muffed muffs
muffled muffles muffling muffle
mugged mugs mugging mug
mulches mulched mulch mulching
mull mulls mulled mulling
multicasting multicast multicasts
multiplied multiplies multiplying multiply
multitasked multitasking multitasks multitask
mumbled mumble mumbles mumbling
mummified mummifying mummify mummifies
munching munched munches munch
murdered murders murdering murder
murmuring murmurs murmur murmured
muscling muscled muscles muscle
muse musing muses mused
mushroomed mushrooms mushroom mushrooming
musses muss mussed mussing
mustered musters mustering muster
mutates mutate mutating mutated
muting mute muted mutes
mutilates mutilated mutilate mutilating
mutiny mutinying mutinies mutinied
mutter mutters muttered muttering
muzzling muzzled muzzles muzzle
mystifying mystified mystifies mystify
nabbing nabs nab nabbed
nag nagged nags nagging
nailed nailing nail nails
names named naming name
name-checks name-check name-checking name-checked
name-dropping name-drops name-dropped name-drop
namechecks namecheck namechecked namechecking
namedrop namedropped namedropping namedrops
naps napping napped nap
narrates narrate narrating narrated
narrow narrowed narrowing narrows
narrowcasting narrowcasts narrowcast
nasalised nasalising nasalise nasalises
nasalized nasalize nasalizes nasalizing
nationalised nationalise nationalises nationalising
nationalized nationalize nationalizes nationalizing
natters nattering nattered natter
naturalise naturalises naturalising naturalised
naturalized naturalizing naturalize naturalizes
nauseate nauseated nauseating nauseates
navigate navigates navigating navigated
neared nearing near nears
neaten neatened neatens neatening
necessitates necessitating necessitate necessitated
necking necked neck necks
necklaces necklace necklaced necklacing
needing need needs needed
needled needles needling needle
negate negating negates negated
negative negatives negativing negatived
neglects neglecting neglect neglected
negotiates negotiating negotiate negotiated
neighs neigh neighing neighed
neighbour neighbouring neighbours neighboured
nerves nerve nerved nerving
nest nesting nested nests
nestles nestled nestle nestling
net netted nets netting
nettle nettles nettled nettling
networked network networks networking
neutering neutered neuters neuter
neutralised neutralises neutralise neutralising
neutralized neutralize neutralizes neutralizing
nibbles nibble nibbled nibbling
nick nicked nicks nicking
nickel-and-dimed nickel-and-dimes nickel-and-diming nickel-and-dime
nickeland-dimed nickeland-diming nickeland-dime nickeland-dimes
nickname nicknaming nicknames nicknamed
niggling niggled niggles niggle
nipped nips nip nipping
nitrifying nitrify nitrifies nitrified
nixes nix nixed nixing
nobbles nobbling nobble nobbled
nods nodded nodding nod
noise noising noised noises
nominalising nominalised nominalise nominalises
nominalize nominalizes nominalizing nominalized
nominate nominating nominates nominated
normed norm norming norms
normalised normalising normalise normalises
normalizing normalize normalized normalizes
nosing noses nosed nose
nosediving nosedives nosedived nosedive
nosh noshes noshing noshed
notarised notarise notarises notarising
notarize notarizes notarizing notarized
notches notched notching notch
notes note noting noted
notices notice noticed noticing
notified notifies notify notifying
nourishes nourishing nourished nourish
nudges nudge nudging nudged
nuked nuking nuke nukes
nullify nullifies nullified nullifying
numbing numbed numbs numb
number numbered numbers numbering
nurses nursing nursed nurse
nurturing nurture nurtured nurtures
nutting nuts nut nutted
nuzzled nuzzling nuzzles nuzzle
obey obeying obeys obeyed
obfuscates obfuscating obfuscated obfuscate
objected objects object objecting
objectified objectifying objectifies objectify
obligate obligated obligating obligates
obliges oblige obliged obliging
obliterate obliterated obliterating obliterates
obscured obscures obscuring obscure
observing observed observe observes
obsesses obsessed obsessing obsess
obstructs obstructed obstructing obstruct
obtaining obtain obtained obtains
obtruding obtrudes obtrude obtruded
obviate obviated obviating obviates
occasioning occasion occasions occasioned
occlude occluding occluded occludes
occupied occupying occupies occupy
occurring occur occurs occurred
od'd od'ing od's od
ODed OD ODing Ods
off offed offing offs
offend offending offended offends
offering offer offered offers
officiate officiating officiated officiates
offload offloaded offloading offloads
offsets offsetting offset
offshores offshore offshored offshoring
ogled ogling ogles ogle
oils oiling oil oiled
ok'd ok's ok'ing ok
omitting omitted omit omits
ooze oozes oozing oozed
opened opens opening open
operate operated operates operating
opines opining opine opined
opposes oppose opposed opposing
oppressed oppresses oppress oppressing
opts opted opt opting
optimised optimise optimising optimises
optimized optimizes optimizing optimize
options optioned option optioning
orbits orbited orbit orbiting
orchestrating orchestrate orchestrated orchestrates
ordains ordaining ordain ordained
orders ordering ordered order
organised organising organise organises
organize organizing organizes organized
orienting oriented orient orients
orientating orientated orientates orientate
originating originated originates originate
ornament ornamenting ornaments ornamented
orphaning orphaned orphan orphans
oscillated oscillates oscillating oscillate
ossifying ossifies ossified ossify
ostracise ostracises ostracised ostracising
ostracizing ostracized ostracize ostracizes
oust ousts ousting ousted
outs outing out outed
outbidding outbids outbid
outclassed outclass outclassing outclasses
outdistance outdistancing outdistances outdistanced
outdid outdoes outdoing outdone outdo
outface outfaced outfaces outfacing
outfitted outfits outfit outfitting
outflanking outflanks outflank outflanked
outfoxes outfoxed outfox outfoxing
outgrown outgrows outgrew outgrowing outgrow
outgunned outgunning outguns outgun
outlasting outlasts outlast outlasted
outlaw outlawing outlawed outlaws
outline outlines outlined outlining
outlived outlives outliving outlive
outmanoeuvre outmanoeuvring outmanoeuvred outmanoeuvres
outnumbers outnumbered outnumbering outnumber
outpaces outpaced outpace outpacing
outperforms outperformed outperform outperforming
outplaying outplayed outplay outplays
outpointing outpoints outpoint outpointed
outputs outputting outputted output
outrages outrage outraging outraged
outrank outranking outranked outranks
outridden outrides outrode outriding outride
outrunning outrun outran outruns
outsells outsold outselling outsell
outshines outshine outshining outshone
outsmarted outsmart outsmarts outsmarting
outsource outsourcing outsources outsourced
outspend outspends outspending outspent
outstays outstaying outstayed outstay
outstrip outstrips outstripped outstripping
outvote outvotes outvoted outvoting
outweighs outweighing outweighed outweigh
outwit outwitting outwits outwitted
over-egging over-eggs over-egg over-egged
overachieving overachieved overachieves overachieve
overacts overact overacted overacting
overawe overawes overawed overawing
overbalance overbalances overbalanced overbalancing
overborne overbear overbore overbears overbearing
overbidding overbid overbids
overbooking overbook overbooked overbooks
overburden overburdening overburdens overburdened
overcharged overcharges overcharging overcharge
overcame overcomes overcoming overcome
overcompensating overcompensated overcompensates overcompensate
overcooked overcooks overcooking overcook
overdevelops overdeveloped overdeveloping overdevelop
overdoes overdid overdo overdoing overdone
overdosing overdoses overdosed overdose
overdrawing overdrew overdrawn overdraw overdraws
overdubbing overdub overdubs overdubbed
overeaten overate overeats overeat overeating
overegg overegging overegged overeggs
overemphasises overemphasise overemphasising overemphasised
overemphasize overemphasizes overemphasized overemphasizing
overestimating overestimate overestimated overestimates
overexposing overexposes overexposed overexpose
overextending overextend overextended overextends
overfeeding overfed overfeeds overfeed
overfilling overfill overfilled overfills
overflowing overflowed overflow overflows
overflies overflown overflying overflew overfly
overgeneralise overgeneralising overgeneralises overgeneralised
overgeneralized overgeneralize overgeneralizes overgeneralizing
overgraze overgrazes overgrazing overgrazed
overhangs overhanging overhung overhang
overhauled overhaul overhauling overhauls
overhear overheard overhearing overhears
overheated overheating overheats overheat
overindulges overindulged overindulging overindulge
overlapped overlap overlaps overlapping
overlaying overlaid overlays overlay
overlie overlying overlain overlies overlay
overloads overload overloading overloaded
overlooking overlooks overlooked overlook
overpays overpay overpaying overpaid
overplaying overplayed overplays overplay
overpower overpowering overpowered overpowers
overprinted overprinting overprint overprints
overproducing overproduces overproduce overproduced
overrated overrating overrate overrates
overreach overreached overreaching overreaches
overreacted overreacting overreacts overreact
overrode overrides override overridden overriding
overruling overrules overruled overrule
overrunning overruns overrun overran
overseeing oversee oversees overseen oversaw
oversold oversell overselling oversells
overshadow overshadowing overshadows overshadowed
overshare overshared overshares oversharing
overshoot overshoots overshooting overshot
oversimplified oversimplifying oversimplifies oversimplify
overslept oversleep oversleeps oversleeping
overspending overspent overspends overspend
overstates overstate overstating overstated
overstaying overstay overstayed overstays
overstepped oversteps overstepping overstep
overstocking overstocked overstock overstocks
overstretching overstretch overstretched overstretches
overtake overtakes overtaking overtaken overtook
overtaxes overtax overtaxed overtaxing
overthinking overthinks overthink overthought
overthrowing overthrown overthrow overthrows overthrew
overtop overtopped overtopping overtops
overtrains overtrained overtrain overtraining
overturns overturned overturning overturn
overuse overusing overuses overused
overvalue overvalued overvalues overvaluing
overwhelm overwhelms overwhelming overwhelmed
overwintered overwintering overwinters overwinter
overworks overwork overworking overworked
overwrites overwrite overwritten overwrote overwriting
ovulating ovulates ovulate ovulated
owing owed owe owes
owned owning owns own
oxidises oxidising oxidise oxidised
oxidize oxidizing oxidized oxidizes
oxygenating oxygenate oxygenates oxygenated
pace pacing paces paced
pacify pacifies pacifying pacified
packed packing packs pack
packaged packages package packaging
packetising packetised packetise packetises
packetizing packetizes packetize packetized
pad padding padded pads
paddles paddling paddled paddle
padlocking padlocks padlock padlocked
paging paged pages page
page-jacked page-jacks page-jack page-jacking
pagejack pagejacks pagejacking pagejacked
paginates paginated paginating paginate
pained pain pains paining
paints paint painted painting
pairing paired pairs pair
palling palled pals pal
palatalise palatalises palatalised palatalising
palatalized palatalizing palatalizes palatalize
pale pales paled paling
palled palls pall palling
palliating palliate palliates palliated
palmed palms palm palming
palpate palpated palpates palpating
palpitating palpitates palpitated palpitate
pampers pamper pampered pampering
panning pan panned pans
pan-fried pan-fry pan-fries pan-frying
pander pandered panders pandering
panelling panelled panel panels
panfrying panfry panfries panfried
panhandled panhandles panhandle panhandling
panic panicked panicking panics
panted panting pants pant
papping paps papped pap
paper papered papering papers
parachuted parachute parachuting parachutes
parades parading paraded parade
parallels paralleling paralleled parallel
paralysing paralyses paralyse paralysed
paralyzes paralyzed paralyze paralyzing
paraphrasing paraphrases paraphrased paraphrase
parboils parboiled parboil parboiling
parcelling parcels parcelled parcel
parching parched parches parch
pardoned pardon pardoning pardons
pares pare paring pared
parked parking park parks
parlay parlayed parlays parlaying
parley parleyed parleying parleys
parody parodied parodies parodying
parole paroles paroled paroling
parroted parrot parroting parrots
parried parrying parries parry
parsing parsed parses parse
parted parting part parts
part-exchanges part-exchanged part-exchange part-exchanging
partake partook partakes partaken partaking
partexchanged partexchange partexchanges partexchanging
participates participating participate participated
particularise particularising particularised particularises
particularizing particularized particularizes particularize
partitioned partition partitions partitioning
partnered partner partners partnering
partying party partied parties
passing passed passes pass
passivise passivising passivises passivised
passivize passivizing passivizes passivized
pasted paste pasting pastes
pasteurised pasteurise pasteurises pasteurising
pasteurizes pasteurized pasteurize pasteurizing
pastured pasture pasturing pastures
pat patting pats patted
patch patches patching patched
patents patent patenting patented
patrol patrols patrolled patrolling
patronises patronise patronising patronised
patronizing patronize patronizes patronized
patters pattered pattering patter
patterned pattern patterning patterns
pauses pause pausing paused
paves paved paving pave
paws pawing pawed paw
pawned pawn pawns pawning
paying paid pay pays
peaking peak peaks peaked
pealed peal pealing peals
peck pecking pecks pecked
pedalling pedalled pedal pedals
peddles peddled peddle peddling
pedestrianised pedestrianising pedestrianises pedestrianise
pedestrianizes pedestrianizing pedestrianized pedestrianize
peeing peed pee pees
peeked peeking peeks peek
peels peeled peeling peel
peeping peeps peep peeped
peering peered peer peers
pegged pegs peg pegging
pelted pelts pelting pelt
penning pen pens penned
penalised penalising penalise penalises
penalized penalizing penalize penalizes
pencils pencilling pencilled pencil
penetrate penetrated penetrating penetrates
pensioned pension pensioning pensions
people peoples peopled peopling
pepped pepping pep peps
peppering peppered pepper peppers
perambulates perambulating perambulated perambulate
perceives perceived perceiving perceive
perches perching perch perched
percolated percolate percolating percolates
perfect perfected perfecting perfects
perforating perforate perforated perforates
performed performing perform performs
perfumes perfume perfumed perfuming
perishing perishes perish perished
perjures perjuring perjure perjured
perk perks perked perking
perms perm permed perming
permeating permeated permeate permeates
permitted permit permits permitting
perpetrating perpetrated perpetrates perpetrate
perpetuate perpetuating perpetuated perpetuates
perplex perplexes perplexing perplexed
persecuting persecuted persecute persecutes
persevering persevered perseveres persevere
persist persists persisted persisting
personalised personalise personalises personalising
personalizing personalize personalized personalizes
personified personify personifies personifying
perspires perspired perspiring perspire
persuaded persuading persuade persuades
pertaining pertained pertain pertains
perturbs perturbing perturbed perturb
peruses perused peruse perusing
pervade pervading pervades pervaded
perverting perverts pervert perverted
pesters pester pestering pestered
petting petted pet pets
petering petered peter peters
petition petitioning petitioned petitions
petrified petrify petrifies petrifying
phasing phase phased phases
philosophised philosophises philosophise philosophising
philosophizing philosophize philosophized philosophizes
phoned phone phoning phones
photobombs photobombed photobombing photobomb
photocopies photocopied photocopy photocopying
photographs photographing photograph photographed
photosensitising photosensitised photosensitise photosensitises
photosensitize photosensitizing photosensitizes photosensitized
photoshopping photoshops photoshopped photoshop
photosynthesising photosynthesised photosynthesises photosynthesise
photosynthesize photosynthesizing photosynthesizes photosynthesized
phrased phrases phrase phrasing
picks picked picking pick
picketing pickets picketed picket
pickling pickles pickle pickled
picnicked picnicking picnics picnic
pictures pictured picture picturing
picturised picturise picturising picturises
picturizes picturizing picturize picturized
piddle piddles piddling piddled
piece pieces piecing pieced
pierce piercing pierced pierces
pigs pig pigging pigged
pigeonhole pigeonholed pigeonholing pigeonholes
piggybacks piggyback piggybacking piggybacked
pike piked piking pikes
piled piling piles pile
pilfered pilfering pilfers pilfer
pill pilled pilling pills
pillaging pillages pillaged pillage
pilloried pillory pillories pillorying
pillowing pillow pillows pillowed
piloting piloted pilots pilot
pimped pimping pimps pimp
pinned pinning pins pin
pinched pinch pinching pinches
pinch run pinch running pinch runs pinch ran
pinch-hits pinch-hit pinch-hitting
pinchhits pinchhit pinchhitting
pine pined pines pining
ping pings pinged pinging
pinion pinioned pinions pinioning
pinks pinking pinked pink
pinpointing pinpoints pinpoint pinpointed
pioneered pioneering pioneers pioneer
pip pipped pipping pips
pipes pipe piped piping
piques piqued pique piquing
pirating pirated pirates pirate
pirouetting pirouetted pirouette pirouettes
piss pissed pissing pisses
pistol-whips pistol-whipping pistol-whipped pistol-whip
pistolwhipping pistolwhips pistolwhip pistolwhipped
pit pitting pits pitted
pitches pitched pitching pitch
pitchforking pitchforks pitchforked pitchfork
pities pitied pity pitying
pivoting pivot pivoted pivots
pixelating pixelates pixelated pixelate
placating placate placates placated
places place placed placing
plagiarising plagiarise plagiarises plagiarised
plagiarize plagiarizing plagiarized plagiarizes
plague plagues plaguing plagued
plait plaiting plaits plaited
plan plans planned planning
plane planing planes planed
plants planting planted plant
plastering plastered plasters plaster
plasticise plasticises plasticised plasticising
plasticizes plasticized plasticize plasticizing
plated plate plates plating
plateau plateauing plateaus plateaud
playing play plays played
play-acting play-act play-acts play-acted
playact playacts playacting playacted
pleading pleaded pleads plead
pleading pleads plead pled
please pleasing pleases pleased
pledge pledges pledged pledging
plighting plights plight plighted
plodded plods plodding plod
plonks plonking plonk plonked
plop plops plopped plopping
plotting plot plots plotted
ploughing plough ploughed ploughs
plowing plow plowed plows
pluck plucked plucks plucking
plugs plug plugging plugged
plumb plumbed plumbs plumbing
plumed pluming plume plumes
plummeting plummeted plummets plummet
plump plumps plumped plumping
plundering plundered plunder plunders
plunged plunging plunges plunge
plunks plunking plunk plunked
pluralises pluralised pluralising pluralise
pluralize pluralizing pluralized pluralizes
plying plies ply plied
poach poached poaches poaching
pocketed pocketing pockets pocket
point points pointed pointing
poise poises poised poising
poisoning poisons poison poisoned
poking poked poke pokes
polarising polarises polarised polarise
polarizing polarizes polarize polarized
pole poled poles poling
poleaxes poleaxe poleaxing poleaxed
police policing polices policed
polished polishing polishes polish
politicise politicised politicises politicising
politicize politicized politicizing politicizes
polls polling poll polled
pollard pollarding pollarded pollards
pollinates pollinated pollinate pollinating
pollute pollutes polluted polluting
polymerising polymerise polymerises polymerised
polymerizes polymerize polymerizing polymerized
poncing ponces ponced ponce
pondering ponder pondered ponders
pong ponged ponging pongs
pontificated pontificating pontificates pontificate
ponied ponying pony ponies
poos pooed pooing poo
poohing pooh poohed poohs
pooh-poohing pooh-poohed pooh-poohs pooh-pooh
poohpooh poohpoohing poohpoohed poohpoohs
pooled pooling pools pool
poop poops pooped pooping
pootle pootling pootled pootles
popped popping pop pops
popularises popularising popularised popularise
popularizing popularizes popularized popularize
populating populates populated populate
pores poring pore pored
ported ports porting port
portended portend portending portends
portion portioning portions portioned
portrayed portray portrays portraying
poses pose posed posing
posits posit posited positing
positioning positioned positions position
possess possessed possesses possessing
possetting possets posset possetted
posts post posted posting
post-date post-dating post-dates post-dated
post-syncs post-synced post-sync post-syncing
postdate postdates postdating postdated
postmarked postmark postmarks postmarking
postpone postponing postpones postponed
postsyncing postsynced postsync postsyncs
postulates postulate postulating postulated
postures posturing posture postured
pot potted pots potting
pot-roasts pot-roast pot-roasted pot-roasting
potroasts potroast potroasting potroasted
potter pottered pottering potters
potty-trained potty-trains potty-train potty-training
pottytrains pottytrain pottytraining pottytrained
pounces pouncing pounce pounced
pounds pounded pounding pound
pour poured pouring pours
pouted pouting pouts pout
powdering powder powders powdered
powering power powers powered
power-nap power-naps power-napping power-napped
powernapped powernapping powernap powernaps
practiced practices practicing practice
practised practises practising practise
praising praise praises praised
prance pranced prances prancing
pranging prang prangs pranged
prating prate prated prates
prattle prattles prattled prattling
prayed prays praying pray
pre-booking pre-books pre-booked pre-book
pre-empted pre-empt pre-empting pre-empts
pre-existing pre-exist pre-exists pre-existed
pre-installing pre-installed pre-installs pre-install
pre-recorded pre-records pre-record pre-recording
pre-taught pre-teaching pre-teach pre-teaches
pre-washed pre-washes pre-wash pre-washing
preaches preach preaching preached
prebooking prebook prebooks prebooked
precedes preceded precede preceding
precipitated precipitating precipitate precipitates
precises precising precis precised
precludes preclude precluded precluding
predates predate predated predating
predeceased predeceasing predecease predeceases
predetermined predetermining predetermines predetermine
predicate predicated predicating predicates
predict predicted predicting predicts
predisposing predispose predisposes predisposed
predominating predominates predominated predominate
preempted preempt preempts preempting
preen preened preening preens
preexisted preexists preexisting preexist
preface prefaces prefacing prefaced
prefers preferred prefer preferring
prefigures prefigured prefiguring prefigure
prefix prefixing prefixes prefixed
preheats preheating preheat preheated
preinstalling preinstalls preinstalled preinstall
prejudging prejudged prejudge prejudges
prejudices prejudicing prejudice prejudiced
preload preloads preloaded preloading
premieres premiere premiered premiering
preoccupying preoccupy preoccupied preoccupies
prep preps prepping prepped
prepare prepares preparing prepared
prepays prepay prepaying prepaid
preponderate preponderating preponderates preponderated
prepone preponed preponing prepones
prerecorded prerecords prerecord prerecording
preregisters preregistering preregister preregistered
presaging presage presages presaged
prescinds prescinding prescinded prescind
prescribed prescribes prescribe prescribing
preselect preselects preselected preselecting
presold preselling presell presells
presents presented present presenting
preserve preserving preserved preserves
preset presetting presets
presided presides presiding preside
presses pressed pressing press
press-ganged press-gang press-ganging press-gangs
pressgang pressgangs pressganging pressganged
pressuring pressured pressures pressure
pressurises pressurised pressurise pressurising
pressurized pressurizes pressurize pressurizing
presuming presumed presumes presume
presupposed presupposes presupposing presuppose
preteach pretaught preteaching preteaches
pretended pretends pretending pretend
pretested pretests pretest pretesting
prettifies prettify prettifying prettified
prevail prevails prevailed prevailing
prevaricates prevaricating prevaricate prevaricated
